make,price,mileage,gear,fuel,hp,model
BMW,"€ 29,850","3,000 km",Manual,Gasoline,136,
BMW,"€ 24,900",0 km,Manual,Gasoline,109,
BMW,"€ 27,970","6,330 km",Manual,Gasoline,109,
BMW,"€ 27,970","2,676 km",Manual,Gasoline,109,
BMW,"€ 25,990","6,120 km",Manual,Gasoline,136,
BMW,"€ 27,498","12,519 km",Manual,Gasoline,136,
BMW,"€ 29,500",100 km,Manual,Gasoline,109,
BMW,"€ 26,300","14,400 km",Manual,Gasoline,136,
BMW,"€ 26,330","9,800 km",Manual,Gasoline,140,
BMW,"€ 25,950","9,389 km",Manual,Gasoline,140,
BMW,"€ 23,900","17,300 km",Manual,Gasoline,140,
BMW,"€ 27,690","25,236 km",Manual,Gasoline,136,
BMW,"€ 26,890",10 km,Manual,Gasoline,109,
BMW,"€ 25,490","14,200 km",Manual,Gasoline,136,
BMW,"€ 26,500","8,000 km",Manual,Gasoline,109,
BMW,"€ 22,490","24,390 km",Manual,Gasoline,140,
BMW,"€ 28,990","8,500 km",Manual,Gasoline,136,
BMW,"€ 27,390",- km,Manual,Gasoline,136,
BMW,"€ 28,960","5,827 km",Manual,Gasoline,136,
BMW,"€ 24,400","9,700 km",Manual,Gasoline,136,
BMW,"€ 27,890","23,764 km",Manual,Gasoline,136,
BMW,"€ 26,990","9,600 km",Manual,Gasoline,140,
BMW,"€ 27,990","12,996 km",Manual,Gasoline,140,
BMW,"€ 25,800","6,900 km",Manual,Gasoline,136,
BMW,"€ 25,880","8,796 km",Manual,Gasoline,136,
BMW,"€ 28,990","11,100 km",Manual,Gasoline,140,
BMW,"€ 28,450","12,524 km",Manual,Gasoline,140,
BMW,"€ 28,750","11,000 km",Manual,Gasoline,136,
BMW,"€ 24,980","13,979 km",Manual,Gasoline,140,
BMW,"€ 25,220","13,867 km",Manual,Gasoline,140,
BMW,"€ 26,450","13,000 km",Manual,Gasoline,136,
BMW,"€ 25,980","20,930 km",Manual,Gasoline,140,
BMW,"€ 22,780","24,300 km",Manual,Gasoline,136,
BMW,"€ 26,080","11,926 km",Manual,Gasoline,140,
BMW,"€ 26,590","24,160 km",Manual,Gasoline,140,
BMW,"€ 25,888","2,850 km",Manual,Gasoline,136,
BMW,"€ 25,690","9,154 km",Manual,Gasoline,136,
BMW,"€ 25,590","10,239 km",Manual,Gasoline,140,
BMW,"€ 25,730","10,784 km",Manual,Gasoline,140,
BMW,"€ 26,879","21,041 km",Manual,Gasoline,140,
BMW,"€ 26,680","23,400 km",Manual,Gasoline,140,
BMW,"€ 29,920","5,121 km",Manual,Gasoline,136,
BMW,"€ 25,990","19,209 km",Manual,Gasoline,140,
BMW,"€ 29,950","12,592 km",Manual,Gasoline,136,
BMW,"€ 28,900",0 km,Manual,Gasoline,109,
BMW,"€ 25,200","13,500 km",Manual,Gasoline,109,
BMW,"€ 29,995","1,500 km",Manual,Gasoline,136,
BMW,"€ 23,799","24,409 km",Manual,Gasoline,140,
BMW,"€ 24,390","8,000 km",Manual,Gasoline,136,
BMW,"€ 25,900","23,500 km",Manual,Gasoline,140,
BMW,"€ 26,890","9,570 km",Manual,Gasoline,136,
BMW,"€ 27,880","9,400 km",Manual,Gasoline,136,
BMW,"€ 24,950","24,800 km",Manual,Gasoline,140,
BMW,"€ 25,734","17,855 km",Manual,Gasoline,140,
BMW,"€ 25,559","25,358 km",Manual,Gasoline,136,
BMW,"€ 28,990","18,497 km",Manual,Gasoline,136,
BMW,"€ 25,650","23,999 km",Manual,Gasoline,140,
BMW,"€ 22,980","6,400 km",Manual,Gasoline,136,
BMW,"€ 26,180","15,418 km",Manual,Gasoline,140,
BMW,"€ 26,333","10,938 km",Manual,Gasoline,136,
BMW,"€ 29,666","8,100 km",Manual,Gasoline,136,
BMW,"€ 24,990","22,130 km",Manual,Gasoline,140,
BMW,"€ 27,900",0 km,Manual,Gasoline,136,
BMW,"€ 25,430","19,950 km",Manual,Gasoline,140,
BMW,"€ 25,830","26,004 km",Manual,Gasoline,140,
BMW,"€ 28,990","6,534 km",Manual,Gasoline,140,
BMW,"€ 27,700","8,100 km",Manual,Gasoline,136,
BMW,"€ 28,888","13,337 km",Manual,Gasoline,136,
BMW,"€ 27,900",0 km,Manual,Gasoline,136,
BMW,"€ 25,734","17,855 km",Manual,Gasoline,140,
BMW,"€ 27,990",0 km,Manual,Gasoline,136,
BMW,"€ 24,930","12,878 km",Manual,Gasoline,140,
BMW,"€ 25,220","21,177 km",Manual,Gasoline,140,
BMW,"€ 28,990","6,900 km",Manual,Gasoline,136,
BMW,"€ 23,590","20,438 km",Manual,Gasoline,136,
BMW,"€ 25,890","10,800 km",Manual,Gasoline,136,
BMW,"€ 23,490","4,816 km",Manual,Gasoline,136,
BMW,"€ 25,780","21,145 km",Manual,Gasoline,140,
BMW,"€ 25,770","21,814 km",Manual,Gasoline,136,
BMW,"€ 27,950","17,350 km",Manual,Gasoline,136,
BMW,"€ 27,340","10,400 km",Manual,Gasoline,136,
BMW,"€ 26,340","26,081 km",Manual,Gasoline,140,
BMW,"€ 21,949","22,577 km",Manual,Gasoline,140,
BMW,"€ 25,470","23,513 km",Manual,Gasoline,140,
BMW,"€ 26,330","14,796 km",Manual,Gasoline,140,
BMW,"€ 25,888","11,635 km",Manual,Gasoline,136,
BMW,"€ 24,420","14,568 km",Manual,Gasoline,136,
BMW,"€ 27,900","3,500 km",Manual,Gasoline,136,
BMW,"€ 24,490","20,997 km",Manual,Gasoline,136,
BMW,"€ 25,900","9,700 km",Manual,Gasoline,136,
BMW,"€ 25,900","12,500 km",Manual,Gasoline,136,
BMW,"€ 24,960","13,800 km",Manual,Gasoline,140,
BMW,"€ 25,980","22,800 km",Manual,Gasoline,140,
BMW,"€ 24,690","12,200 km",Manual,Gasoline,136,
BMW,"€ 24,790","17,000 km",Manual,Gasoline,140,
BMW,"€ 23,890","19,177 km",Manual,Gasoline,140,
BMW,"€ 20,898","23,830 km",Manual,Gasoline,136,
BMW,"€ 25,995","7,880 km",Manual,Gasoline,109,
BMW,"€ 27,949","14,506 km",Manual,Gasoline,140,
BMW,"€ 26,379",0 km,Manual,Gasoline,109,
BMW,"€ 23,490","11,170 km",Manual,Gasoline,109,
BMW,"€ 26,940","19,622 km",Manual,Gasoline,136,
BMW,"€ 24,399","27,640 km",Manual,Gasoline,140,
BMW,"€ 23,999","10,900 km",Manual,Gasoline,136,
BMW,"€ 23,250","26,900 km",Manual,Gasoline,140,
BMW,"€ 23,690","15,000 km",Manual,Gasoline,136,
BMW,"€ 19,680","23,717 km",Manual,Gasoline,109,
BMW,"€ 23,999","25,936 km",Manual,Gasoline,136,
BMW,"€ 24,700","13,000 km",Manual,Gasoline,136,
BMW,"€ 25,250","18,500 km",Manual,Gasoline,136,
BMW,"€ 24,949","12,712 km",Manual,Gasoline,136,
BMW,"€ 24,990","26,788 km",Manual,Gasoline,140,
BMW,"€ 23,900","8,700 km",Manual,Gasoline,136,
BMW,"€ 24,990","28,197 km",Manual,Gasoline,140,
BMW,"€ 25,790","24,000 km",Manual,Gasoline,136,
BMW,"€ 24,890","23,000 km",Manual,Gasoline,140,
BMW,"€ 16,950","27,900 km",Manual,Gasoline,136,
BMW,"€ 26,899","28,455 km",Manual,Gasoline,140,
BMW,"€ 23,790","9,000 km",Manual,Gasoline,136,
BMW,"€ 25,860","27,288 km",Manual,Gasoline,140,
BMW,"€ 22,980","11,900 km",Manual,Gasoline,136,
BMW,"€ 22,999","1,378 km",Manual,Gasoline,140,
BMW,"€ 23,990","26,721 km",Manual,Gasoline,140,
BMW,"€ 21,650","28,105 km",Manual,Gasoline,140,
BMW,"€ 25,690","18,633 km",Manual,Gasoline,136,
BMW,"€ 25,680","11,552 km",Manual,Gasoline,136,
BMW,"€ 26,390","12,500 km",Manual,Gasoline,109,
BMW,"€ 20,840","21,386 km",Manual,Gasoline,136,
BMW,"€ 24,490","27,800 km",Manual,Gasoline,140,
BMW,"€ 24,300","19,300 km",Manual,Gasoline,136,
BMW,"€ 24,880","28,490 km",Manual,Gasoline,140,
BMW,"€ 27,700","17,900 km",Manual,Gasoline,136,
BMW,"€ 21,990","6,487 km",Manual,Gasoline,140,
BMW,"€ 24,689","22,990 km",Manual,Gasoline,140,
BMW,"€ 27,480","11,785 km",Manual,Gasoline,136,
BMW,"€ 21,250","10,200 km",Manual,Gasoline,109,
BMW,"€ 23,930","9,800 km",Manual,Gasoline,140,
BMW,"€ 21,830","27,096 km",Manual,Gasoline,140,
BMW,"€ 21,999","27,006 km",Manual,Gasoline,140,
BMW,"€ 24,832","13,300 km",Manual,Gasoline,136,
BMW,"€ 23,850","6,671 km",Manual,Gasoline,140,
BMW,"€ 25,490","14,406 km",Manual,Gasoline,140,
BMW,"€ 26,900","19,500 km",Manual,Gasoline,136,
BMW,"€ 28,990","22,764 km",Manual,Gasoline,140,
BMW,"€ 21,160","25,008 km",Manual,Gasoline,140,
BMW,"€ 22,280","15,950 km",Manual,Gasoline,140,
BMW,"€ 24,400","21,800 km",Manual,Gasoline,136,
BMW,"€ 27,700","12,500 km",Manual,Gasoline,136,
BMW,"€ 25,490","3,700 km",Manual,Gasoline,136,
BMW,"€ 27,890","25,392 km",Manual,Gasoline,136,
BMW,"€ 24,080","11,600 km",Manual,Gasoline,140,
BMW,"€ 23,790","4,680 km",Manual,Gasoline,140,
BMW,"€ 21,490","22,694 km",Manual,Gasoline,136,
BMW,"€ 23,740","12,907 km",Manual,Gasoline,136,
BMW,"€ 22,980","21,350 km",Manual,Gasoline,140,
BMW,"€ 22,930","20,471 km",Manual,Gasoline,140,
BMW,"€ 25,990","9,900 km",Manual,Gasoline,109,
BMW,"€ 23,849","14,627 km",Manual,Gasoline,140,
BMW,"€ 24,890","28,299 km",Manual,Gasoline,140,
BMW,"€ 21,690","21,924 km",Manual,Gasoline,136,
BMW,"€ 23,860","15,543 km",Manual,Gasoline,140,
BMW,"€ 22,440","24,313 km",Manual,Gasoline,140,
BMW,"€ 24,490","26,100 km",Manual,Gasoline,140,
BMW,"€ 24,999","8,800 km",Manual,Gasoline,136,
BMW,"€ 22,890","10,699 km",Manual,Gasoline,140,
BMW,"€ 23,740","29,701 km",Manual,Gasoline,140,
BMW,"€ 22,860","24,011 km",Manual,Gasoline,140,
BMW,"€ 23,990","17,424 km",Manual,Gasoline,140,
BMW,"€ 21,100","11,300 km",Manual,Gasoline,140,
BMW,"€ 23,930","28,286 km",Manual,Gasoline,140,
BMW,"€ 19,990","30,000 km",Manual,Gasoline,140,
BMW,"€ 22,899","15,913 km",Manual,Gasoline,140,
BMW,"€ 26,679",5 km,Manual,Gasoline,136,
BMW,"€ 22,999","17,121 km",Manual,Gasoline,136,
BMW,"€ 20,988","22,549 km",Manual,Gasoline,140,
BMW,"€ 21,980","24,850 km",Manual,Gasoline,140,
BMW,"€ 24,340","3,600 km",Manual,Gasoline,109,
BMW,"€ 21,777","25,000 km",Manual,Gasoline,140,
BMW,"€ 21,240","24,350 km",Manual,Gasoline,140,
BMW,"€ 22,799","23,600 km",Manual,Gasoline,140,
BMW,"€ 27,390","18,000 km",Manual,Gasoline,136,
BMW,"€ 22,990","20,996 km",Manual,Gasoline,140,
BMW,"€ 15,990","5,300 km",Manual,Gasoline,143,
BMW,"€ 29,950","17,300 km",Manual,Gasoline,136,
BMW,"€ 19,245","29,900 km",Manual,Gasoline,140,
BMW,"€ 23,840","12,564 km",Manual,Gasoline,140,
BMW,"€ 22,950","25,990 km",Manual,Gasoline,140,
BMW,"€ 23,439","24,900 km",Manual,Gasoline,140,
BMW,"€ 23,840","22,150 km",Manual,Gasoline,140,
BMW,"€ 19,727","24,548 km",Manual,Gasoline,140,
